collegeTeam,collegeConference,nflTeam,year,overall,round,pick,name,position
Ohio State,Big Ten,Los Angeles,1997,1,1,1,Orlando Pace,Offensive Tackle
Texas A&M,SEC,Cleveland,2017,1,1,1,Myles Garrett,Defensive End
Central Michigan,Mid-American,Kansas City,2013,1,1,1,Eric Fisher,Offensive Tackle
USC,AAWU,Minnesota,1968,1,1,1,Ron Yary,Offensive Tackle
Miami,FBS Independents,Dallas,1991,1,1,1,Russell Maryland,Defensive Tackle
Notre Dame,FBS Independents,Buffalo,1972,1,1,1,Walt Patulski,Defensive End
Miami,FBS Independents,Tampa Bay,1987,1,1,1,Vinny Testaverde,Quarterback
UCLA,Pac-10,Dallas,1989,1,1,1,Troy Aikman,Quarterback
Michigan,Big Ten,Miami,2008,1,1,1,Jake Long,Offensive Tackle
NC State,ACC,Houston,2006,1,1,1,Mario Williams,Defensive End
Virginia Tech,FBS Independents,Buffalo,1985,1,1,1,Bruce Smith,Defensive End
Stanford,Pac-8,New England,1971,1,1,1,Jim Plunkett,Quarterback
Utah,Mountain West,San Francisco,2005,1,1,1,Alex Smith,Quarterback
Tennessee,SEC,Indianapolis,1998,1,1,1,Peyton Manning,Quarterback
Penn State,Big Ten,Cincinnati,1995,1,1,1,Ki-Jana Carter,Running Back
Oklahoma,Big 8,Tampa Bay,1976,1,1,1,Lee Roy Selmon,Defensive End
South Carolina,FBS Independents,New Orleans,1981,1,1,1,George Rogers,Running Back
Stanford,Pac-12,Indianapolis,2012,1,1,1,Andrew Luck,Quarterback
Texas,Southwest,Tennessee,1978,1,1,1,Earl Campbell,Running Back
Texas,Southwest,New England,1982,1,1,1,Kenneth Sims,Defensive Tackle
Florida State,ACC,Tampa Bay,2015,1,1,1,Jameis Winston,Quarterback
Penn State,Big Ten,Cleveland,2000,1,1,1,Courtney Brown,Defensive End
USC,Pac-10,Cincinnati,2003,1,1,1,Carson Palmer,Quarterback
USC,Pac-8,Tampa Bay,1977,1,1,1,Ricky Bell,Running Back
Oklahoma,Big 12,Arizona,2019,1,1,1,Kyler Murray,Quarterback
USC,Pac-8,Buffalo,1969,1,1,1,O.J. Simpson,Running Back
Auburn,SEC,Carolina,2011,1,1,1,Cam Newton,Quarterback
Tampa,FBS Independents,Tennessee,1973,1,1,1,John Matuszak,Defensive End
California,Pac-12,Los Angeles,2016,1,1,1,Jared Goff,Quarterback
Ole Miss,SEC,Los Angeles,2004,1,1,1,Eli Manning,Quarterback
LSU,SEC,Las Vegas,2007,1,1,1,JaMarcus Russell,Quarterback
Oklahoma,Big 8,Detroit,1980,1,1,1,Billy Sims,Running Back
California,Pac-8,Atlanta,1975,1,1,1,Steve Bartkowski,Quarterback
Oklahoma,Big 12,Cleveland,2018,1,1,1,Baker Mayfield,Quarterback
Kentucky,SEC,Cleveland,1999,1,1,1,Tim Couch,Quarterback
Ohio State,Big Ten,Buffalo,1979,1,1,1,Tom Cousineau,Linebacker
LSU,SEC,Cincinnati,2020,1,1,1,Joe Burrow,Quarterback
Clemson,ACC,Jacksonville,2021,1,1,1,Trevor Lawrence,Quarterback
Georgia,SEC,Detroit,2009,1,1,1,Matthew Stafford,Quarterback
Auburn,SEC,Tampa Bay,1986,1,1,1,Bo Jackson,Running Back
Washington,Pac-10,Indianapolis,1992,1,1,1,Steve Emtman,Defensive End
Oklahoma,Big 12,Los Angeles,2010,1,1,1,Sam Bradford,Quarterback
Ohio State,Big Ten,Cincinnati,1994,1,1,1,Dan Wilkinson,Defensive Tackle
Fresno State,Western Athletic,Houston,2002,1,1,1,David Carr,Quarterback
Louisiana Tech,,Pittsburgh,1970,1,1,1,Terry Bradshaw,Quarterback
Nebraska,Big 8,New England,1984,1,1,1,Irving Fryar,Wide Receiver
South Carolina,SEC,Houston,2014,1,1,1,Jadeveon Clowney,Defensive End
Virginia Tech,Big East,Atlanta,2001,1,1,1,Michael Vick,Quarterback
Tennessee State,,Dallas,1974,1,1,1,Ed Jones,Defensive End
Washington State,Pac-10,New England,1993,1,1,1,Drew Bledsoe,Quarterback
Stanford,Pac-10,Indianapolis,1983,1,1,1,John Elway,Quarterback
Illinois,Big Ten,Indianapolis,1990,1,1,1,Jeff George,Quarterback
Michigan State,Big Ten,Indianapolis,1967,1,1,1,Bubba Smith,Defensive End
Michigan State,Big Ten,Minnesota,1967,2,1,2,Clinton Jones,Running Back
Maryland,ACC,Dallas,1975,2,1,2,Randy White,Defensive Tackle
Ole Miss,SEC,New Orleans,1971,2,1,2,Archie Manning,Quarterback
Baylor,Big 12,Los Angeles,2009,2,1,2,Jason Smith,Offensive Tackle
California,Pac-8,Cincinnati,1972,2,1,2,Sherman White,Defensive End
Oklahoma,Big 8,Atlanta,1986,2,1,2,Tony Casillas,Defensive Tackle
Notre Dame,FBS Independents,Seattle,1976,2,1,2,Steve Niehaus,Defensive Tackle
Kentucky,SEC,Kansas City,1978,2,1,2,Art Still,Defensive End
Notre Dame,FBS Independents,Green Bay,1970,2,1,2,Mike McCoy,Defensive Tackle
Notre Dame,FBS Independents,Atlanta,1969,2,1,2,George Kunz,Offensive Tackle
Texas A&M,Southwest,Indianapolis,1992,2,1,2,Quentin Coryatt,Linebacker
Auburn,SEC,Los Angeles,2014,2,1,2,Greg Robinson,Offensive Tackle
Oregon,Pac-12,Tennessee,2015,2,1,2,Marcus Mariota,Quarterback
Nebraska,Big 8,Tennessee,1984,2,1,2,Dean Steinkuhler,Offensive Tackle
San Diego State,Western Athletic,Indianapolis,1994,2,1,2,Marshall Faulk,Running Back
Colorado State,Western Athletic,Kansas City,1979,2,1,2,Mike Bell,Defensive End
USC,Pac-10,New Orleans,2006,2,1,2,Reggie Bush,Running Back
Michigan State,Big Ten,Green Bay,1989,2,1,2,Tony Mandarich,Offensive Tackle
Auburn,SEC,Miami,2005,2,1,2,Ronnie Brown,Running Back
Texas,Big 12,Arizona,2001,2,1,2,Leonard Davis,Offensive Tackle
Tennessee,SEC,Cincinnati,1968,2,1,2,Bob Johnson,Center
Syracuse,Big East,Philadelphia,1999,2,1,2,Donovan McNabb,Quarterback
Iowa,Big Ten,Las Vegas,2004,2,1,2,Robert Gallery,Offensive Tackle
North Carolina,ACC,Carolina,2002,2,1,2,Julius Peppers,Defensive End
Pittsburgh,FBS Independents,Dallas,1977,2,1,2,Tony Dorsett,Running Back
